No.,Match Week,Date,Player,Team,Match,Half,Scored,Final Results,Foot,Kick_Direction,Keeper_Direction,Saved
1,1,13-Aug-16,Riyad Mahrez,Leicester,Hull vs Leicester,1,1,42737,0,0,1,
2,1,13-Aug-16,Sergio Agüero,Man City,Man City vs Sunderland,0,1,42737,1,0,0,
3,1,14-Aug-16,Theo Walcott,Arsenal,Arsenal vs Liverpool,0,0,42828,1,0,0,1.0
4,1,15-Aug-16,Eden Hazard,Chelsea,Chelsea vs West Ham,1,1,42737,1,0,0,
5,2,19-Aug-16,Zlatan Ibrahimovic,Man United,Man United vs Southampton,1,1,2-0,1,0,1,
6,2,20-Aug-16,Sergio Agüero,Man City,Stoke vs Man City,0,1,42826,1,0,1,
7,2,20-Aug-16,Bojan Krkic,Stoke,Stoke vs Man City,1,1,42826,1,0,0,
8,3,27-Aug-16,James Milner,Liverpool,Tottenham vs Liverpool,0,1,42736,1,1,0,
9,3,27-Aug-16,Santiago Cazorla,Arsenal,Watford vs Arsenal,0,1,42795,1,0,1,
10,3,27-Aug-16,Yohan Cabaye,Crystal Palace,Crystal Palace vs Bournemouth,0,0,42736,1,1,1,
11,3,27-Aug-16,Leighton Baines,Everton,Everton vs Stoke,1,0,1-0,0,1,1,1.0
12,3,27-Aug-16,Riyad Mahrez,Leicester,Leicester vs Swansea,1,0,42737,0,0,0,1.0
13,3,27-Aug-16,Jermain Defoe,Sunderland,Southampton vs Sunderland,1,1,42736,1,0,0,
14,4,10-Sep-16,Santiago Cazorla,Arsenal,Arsenal vs Southampton,1,1,42737,1,0,1,
15,4,11-Sep-16,Gylfi Sigurdsson,Swansea,Swansea vs Chelsea,1,1,42768,1,0,0,
16,5,17-Sep-16,Nacer Chadli,West Brom,West Brom vs West Ham,0,1,42770,1,0,1,
17,5,17-Sep-16,Alexis Sánchez,Arsenal,Hull vs Arsenal,0,0,42826,1,0,0,1.0
18,5,17-Sep-16,Manuel Lanzini,West Ham,West Brom vs West Ham,1,1,42770,1,0,0,
19,5,17-Sep-16,Robert Snodgrass,Hull,Hull vs Arsenal,1,1,42826,0,0,1,
20,5,18-Sep-16,Troy Deeney,Watford,Watford vs Man United,1,1,42738,1,0,1,
21,6,24-Sep-16,James Milner,Liverpool,Liverpool vs Hull,0,1,42740,1,1,1,
22,6,24-Sep-16,James Milner,Liverpool,Liverpool vs Hull,1,1,42740,1,1,1,
23,6,24-Sep-16,Sergio Agüero,Man City,Swansea vs Man City,1,1,42795,1,0,1,
24,7,01-Oct-16,James Milner,Liverpool,Swansea vs Liverpool,1,1,42767,1,0,0,
25,7,02-Oct-16,Erik Lamela,Tottenham,Tottenham vs Man City,1,0,2-0,0,1,1,1.0
26,8,15-Oct-16,Kevin De Bruyne,Man City,Man City vs Everton,0,0,42736,1,1,1,1.0
27,8,15-Oct-16,Junior Stanislas,Bournemouth,Bournemouth vs Hull,0,1,42741,1,0,1,
28,8,15-Oct-16,Sergio Agüero,Man City,Man City vs Everton,1,0,42736,1,0,0,
29,8,15-Oct-16,Christian Benteke,Crystal Palace,Crystal Palace vs West Ham,0,0,0-1,1,1,0,0.0
30,8,16-Oct-16,Charlie Austin,Southampton,Southampton vs Burnley,1,1,42738,1,1,0,
31,8,16-Oct-16,Sam Vokes,Burnley,Southampton vs Burnley,1,1,42738,1,0,0,
32,10,29-Oct-16,Jermain Defoe,Sunderland,Sunderland vs Arsenal,1,1,42826,1,1,0,
33,10,29-Oct-16,Vincent Janssen,Tottenham,Tottenham vs Leicester,0,1,42736,0,1,1,
34,11,05-Nov-16,Jermain Defoe,Sunderland,Bournemouth vs Sunderland,1,1,42767,1,1,0,
35,11,05-Nov-16,Christian Benteke,Crystal Palace,Burnley vs Crystal Palace,1,1,42769,1,0,1,
36,11,06-Nov-16,Harry Kane,Tottenham,Arsenal vs Tottenham,1,1,42736,1,1,1,
37,11,06-Nov-16,Charlie Austin,Southampton,Hull vs Southampton,0,1,42737,1,0,1,
38,12,19-Sep-16,Riyad Mahrez,Leicester,Watford vs Leicester,0,1,42737,0,0,1,
39,12,19-Sep-16,Gylfi Sigurdsson,Swansea,Everton vs Swansea,0,1,42736,1,1,0,
40,12,19-Sep-16,Bojan Krkic,Stoke,Stoke vs Bournemouth,1,0,0-1,1,0,1,0.0
41,12,19-Sep-16,Manuel Lanzini,West Ham,Tottenham vs West Ham,1,1,42769,1,0,1,
42,12,19-Sep-16,Harry Kane,Tottenham,Tottenham vs West Ham,1,1,42769,1,0,0,
43,13,26-Nov-16,Riyad Mahrez,Leicester,Leicester vs Middlesbrough,0,1,42768,0,1,0,
44,13,26-Nov-16,James Milner,Liverpool,Liverpool vs Sunderland,1,1,2-0,1,0,1,
45,13,26-Nov-16,Islam Slimani,Leicester,Leicester vs Middlesbrough,1,1,42768,1,1,0,
46,13,27-Nov-16,Callum Wilson,Bournemouth,Arsenal vs Bournemouth,0,1,42738,1,0,1,
47,14,03-Dec-16,Harry Kane,Tottenham,Tottenham vs Swansea,0,1,5-0,1,0,1,
48,14,04-Dec-16,Callum Wilson,Bournemouth,Bournemouth vs Liverpool,1,1,42798,1,1,0,
49,14,04-Dec-16,Leighton Baines,Everton,Everton vs Man United,1,1,42736,0,0,0,
50,15,10-Dec-16,Robert Snodgrass,Hull,Hull vs Crystal Palace,0,1,42797,0,0,1,
51,15,10-Dec-16,Charlie Adam,Stoke,Arsenal vs Stoke,0,1,42738,0,1,0,
52,15,10-Dec-16,Gylfi Sigurdsson,Swansea,Swansea vs Sunderland,1,1,3-0,1,1,0,
53,15,10-Dec-16,Christian Benteke,Crystal Palace,Hull vs Crystal Palace,1,1,42797,1,1,0,
54,16,14-Dec-16,Mark Noble,West Ham,West Ham vs Burnley,0,0,1-0,1,1,1,
55,17,17-Dec-16,Álvaro Negredo,Middlesbrough,Middlesbrough vs Swansea,0,1,3-0,0,0,1,
56,17,17-Dec-16,Bojan Krkic,Stoke,Stoke vs Leicester,0,1,42768,1,1,1,
57,17,17-Dec-16,Mark Noble,West Ham,West Ham vs Hull,1,1,1-0,1,0,0,
58,18,26-Dec-16,Christian Benteke,Crystal Palace,Watford vs Crystal Palace,0,0,42736,0,0,0,
59,18,26-Dec-16,Eden Hazard,Chelsea,Chelsea vs Bournemouth,1,1,3-0,1,1,0,
60,18,26-Dec-16,Troy Deeney,Watford,Watford vs Crystal Palace,1,1,42736,1,0,1,
61,18,26-Dec-16,Yaya Touré,Man City,Hull vs Man City,1,1,0-3,1,0,1,
62,18,28-Dec-16,Harry Kane,Tottenham,Southampton vs Tottenham,1,0,42826,1,0,1,0.0
63,19,31-Dec-16,Ashley Barnes,Burnley,Burnley vs Sunderland,1,1,42739,1,1,0,
64,20,02-Jan-17,Jermain Defoe,Sunderland,Sunderland vs Liverpool,0,1,42768,1,0,0,
65,20,02-Jan-17,Leighton Baines,Everton,Everton vs Southampton,1,1,3-0,0,0,1,
66,20,02-Jan-17,Jermain Defoe,Sunderland,Sunderland vs Liverpool,1,1,42768,1,0,1,
67,20,03-Jan-17,Callum Wilson,Bournemouth,Bournemouth vs Arsenal,0,1,42797,1,1,1,
68,21,14-Jan-17,Junior Stanislas,Bournemouth,Hull vs Bournemouth,0,1,42738,1,0,0,
69,21,15-Jan-17,James Milner,Liverpool,Man United vs Liverpool,0,1,42736,1,1,1,
70,22,22-Jan-17,Duan Tadi?,Southampton,Southampton vs Leicester,1,1,3-0,0,1,1,
71,22,22-Jan-17,Andre Gray,Burnley,Arsenal vs Burnley,1,1,42737,1,0,1,
72,22,22-Jan-17,Alexis Sánchez,Arsenal,Arsenal vs Burnley,1,1,42737,1,0,0,
73,23,31-Jan-17,Álvaro Negredo,Middlesbrough,Middlesbrough vs West Brom,0,1,42736,0,0,1,
74,23,31-Jan-17,Diego Costa,Chelsea,Liverpool vs Chelsea,1,0,42736,1,0,0,1.0
75,23,01-Feb-17,Yaya Touré,Man City,West Ham vs Man City,1,1,0-4,1,0,0,
76,24,04-Feb-17,Harry Kane,Tottenham,Tottenham vs Middlesbrough,1,1,1-0,1,1,0,
77,24,04-Feb-17,Ashley Barnes,Burnley,Watford vs Burnley,1,1,42737,0,0,0,
78,25,11-Feb-17,Alexis Sánchez,Arsenal,Arsenal vs Hull,1,1,2-0,1,0,0,
79,26,25-Feb-17,Troy Deeney,Watford,Watford vs West Ham,0,1,42736,1,0,0,
80,26,25-Feb-17,Joshua King,Bournemouth,West Brom vs Bournemouth,0,1,42737,1,1,0,
81,26,25-Feb-17,Tom Huddlestone,Hull,Hull vs Burnley,1,1,42736,1,0,0,
82,27,04-Mar-17,Joshua King,Bournemouth,Man United vs Bournemouth,0,1,42736,1,0,0,
83,27,04-Mar-17,Zlatan Ibrahimovic,Man United,Man United vs Bournemouth,1,0,42736,1,0,0,1.0
84,27,04-Mar-17,Andre Gray,Burnley,Swansea vs Burnley,0,1,42769,1,0,0,
85,28,11-Mar-17,Joshua King,Bournemouth,Bournemouth vs West Ham,0,0,42769,1,1,0,
86,28,11-Mar-17,Benik Afobe,West Ham,Bournemouth vs West Ham,0,0,42769,1,0,0,
87,29,18-Mar-17,Jonathan Walters,Stoke,Stoke vs Chelsea,0,1,42767,1,0,0,
88,29,19-Mar-17,Dele Alli,Tottenham,Tottenham vs Southampton,0,1,42737,1,0,1,
89,29,19-Mar-17,James Milner,Liverpool,Man City vs Liverpool,1,1,42736,1,0,1,
90,30,01-Apr-17,Harry Arter,Bournemouth,Southampton vs Bournemouth,1,0,0-0,1,1,0,0.0
91,31,04-Apr-17,Zlatan Ibrahimovic,Man United,Man United vs Everton,1,1,42736,1,1,0,
92,31,05-Apr-17,Eden Hazard,Chelsea,Chelsea vs Man City,0,0,42737,1,1,1,1.0
93,32,10-Apr-17,Luka Milivojevic,Crystal Palace,Crystal Palace vs Arsenal,1,1,3-0,1,1,1,
94,33,15-Apr-17,Sam Vokes,Burnley,Everton vs Burnley,1,1,42738,1,0,1,
95,34,22-Apr-17,Marko Arnautovic,Stoke,Swansea vs Stoke,1,0,2-0,1,0,1,0.0
96,35,29-Apr-17,Duan Tadi?,Southampton,Southampton vs Hull,1,0,0-0,0,1,1,1.0
97,35,30-Apr-17,Wayne Rooney,Man United,Man United vs Swansea,0,1,42736,1,1,0,
98,35,30-Apr-17,Sergio Agüero,Man City,Middlesbrough vs Man City,1,1,42768,1,0,1,
99,35,30-Apr-17,Harry Kane,Tottenham,Tottenham vs Arsenal,1,1,2-0,1,0,0,
100,36,07-May-17,James Milner,Liverpool,Liverpool vs Southampton,1,0,0-0,1,0,0,1.0
101,37,13-May-17,Gabriel Jesus,Man City,Man City vs Leicester,0,1,42737,1,0,1,
102,37,13-May-17,Shane Long,Southampton,Middlesbrough vs Southampton,1,0,42767,1,0,1,0.0
103,37,13-May-17,Riyad Mahrez,Leicester,Man City vs Leicester,1,0,42737,0,0,0,
104,37,14-May-17,Luka Milivojevic,Crystal Palace,Crystal Palace vs Hull,1,1,4-0,1,1,0,
105,37,17-May-17,Manolo Gabbiadini,Southampton,Southampton vs Man United,0,0,0-0,0,1,1,1.0
106,38,21-May-17,Romelu Lukaku,Everton,Arsenal vs Everton,1,1,42738,0,1,1,
